"County Code","District Code","School Code","Filler","Test Year","Subgroup ID","Test Type","Total CAASPP Enrollment","Total Tested At Entity Level","Total Tested at Subgroup Level","Grade","Test Id","CAASPP Reported Enrollment","Students Tested","Mean Scale Score","Percentage Standard Exceeded","Percentage Standard Met","Percentage Standard Met and Above","Percentage Standard Nearly Met","Percentage Standard Not Met","Students with Scores","Area 1 Percentage Above Standard","Area 1 Percentage At or Near Standard","Area 1 Percentage Below Standard","Area 2 Percentage Above Standard","Area 2 Percentage At or Near Standard","Area 2 Percentage Below Standard","Area 3 Percentage Above Standard","Area 3 Percentage At or Near Standard","Area 3 Percentage Below Standard","Area 4 Percentage Above Standard","Area 4 Percentage At or Near Standard","Area 4 Percentage Below Standard"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,3,"2",753,726,"2453.8","33","28","61","19","20",723,"43","32","25","40","37","23","39","42","19","0","0","0"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,3,"1",753,721,"2435.4","32","22","54","21","25",714,"34","39","28","27","46","27","29","54","18","28","49","23"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,4,"1",691,671,"2481.1","35","22","57","15","27",666,"30","44","26","33","43","23","27","55","17","32","48","20"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,4,"2",691,671,"2496.2","30","29","58","25","17",665,"42","32","26","34","42","24","34","42","24","0","0","0"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,5,"2",728,702,"2532.8","37","19","55","22","22",700,"42","27","30","34","42","24","33","45","22","0","0","0"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,5,"1",728,691,"2531.5","36","28","64","15","21",688,"38","39","22","41","36","23","28","56","17","43","44","13"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,6,"1",721,696,"2549.9","26","34","60","21","18",687,"30","46","24","33","45","22","24","65","11","35","54","11"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,6,"2",721,701,"2542.6","28","24","52","25","24",697,"31","37","32","29","47","24","29","48","23","0","0","0"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,7,"2",689,653,"2555.6","29","21","50","24","27",649,"35","29","36","31","43","26","32","55","13","0","0","0"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,7,"1",689,643,"2546.2","19","32","51","19","30",637,"28","39","32","28","42","30","21","57","22","27","50","23"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,8,"1",639,612,"2582.4","21","36","57","25","18",606,"33","45","22","32","46","23","20","65","15","34","50","16"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,8,"2",639,615,"2589.8","30","25","55","22","22",613,"38","37","25","33","49","18","30","53","17","0","0","0"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,11,"2",858,714,"2596.8","20","23","43","23","34",613,"34","30","35","21","49","30","22","56","22","0","0","0"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,11,"1",858,725,"2616.7","39","25","64","16","20",614,"50","34","16","46","35","20","30","55","15","47","42","11"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,13,"1",5079,4759,"","30","28","58","19","23",4612,"35","41","24","34","42","24","25","58","16","35","48","17"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,13,"2",5079,4782,"","30","24","54","23","23",4660,"38","32","30","32","44","24","31","48","20","0","0","0"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,3,"1",753,395,"2430.5","29","24","53","21","26",391,"30","40","30","24","50","27","27","56","17","27","49","24"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,3,"2",753,397,"2457.8","36","28","64","17","19",396,"49","28","22","42","35","23","42","39","20","0","0","0"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,4,"2",691,353,"2497.8","32","26","58","25","17",351,"44","28","27","35","41","24","33","42","25","0","0","0"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,4,"1",691,353,"2467.6","32","19","50","17","32",351,"27","40","32","27","45","28","29","51","21","30","47","24"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,5,"1",728,358,"2516.5","32","29","60","15","25",358,"34","40","26","35","36","29","27","54","19","37","46","17"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,5,"2",728,365,"2527.0","36","19","55","19","26",365,"43","24","34","35","38","27","33","42","26","0","0","0"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,6,"2",721,350,"2543.4","28","24","52","24","24",347,"32","36","32","31","45","24","28","51","21","0","0","0"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,6,"1",721,346,"2537.9","22","34","56","22","22",340,"28","46","26","28","45","27","23","64","13","29","59","12"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,7,"1",689,327,"2534.4","17","30","47","18","34",323,"29","35","36","23","43","34","20","57","23","25","47","28"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,7,"2",689,334,"2555.3","29","21","50","23","27",330,"35","29","36","32","43","25","31","55","14","0","0","0"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,8,"2",639,301,"2591.9","30","24","54","24","22",301,"39","35","26","34","50","16","30","55","15","0","0","0"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,8,"1",639,299,"2569.4","15","36","52","27","21",297,"29","46","25","28","47","25","16","69","16","29","52","19"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,11,"1",858,379,"2604.1","35","26","61","16","23",312,"47","34","19","39","38","23","28","54","18","41","46","13"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,11,"2",858,379,"2581.7","19","20","39","22","39",323,"31","29","40","21","45","34","19","54","27","0","0","0"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,13,"2",5079,2479,"","30","23","54","22","25",2413,"40","30","31","33","42","25","31","48","21","0","0","0"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,13,"1",5079,2457,"","26","28","54","19","26",2372,"32","40","28","29","43","28","24","58","18","31","49","20"
"01","61143","0000000",,2015,4,"B",5932,5599,2712,3,"2",753,329,"2448.9","28","29","57","21","22",327,"35","37","28","37","40","24","35","47","18","0","0","0"
"01","61143","0000000",,2015,4,"B",5932,5599,2712,3,"1",753,326,"2441.2","34","20","54","20","25",323,"38","38","25","31","41","28","31","50","19","30","49","21"
"01","61143","0000000",,2015,4,"B",5932,5599,2712,4,"1",691,318,"2496.1","39","25","64","14","22",315,"34","48","18","40","42","18","26","60","14","35","48","16"
"01","61143","0000000",,2015,4,"B",5932,5599,2712,4,"2",691,318,"2494.4","27","32","59","25","16",314,"39","36","25","33","44","23","35","42","24","0","0","0"
"01","61143","0000000",,2015,4,"B",5932,5599,2712,5,"2",728,337,"2539.1","38","18","56","27","18",335,"42","31","27","33","46","21","34","48","18","0","0","0"
"01","61143","0000000",,2015,4,"B",5932,5599,2712,5,"1",728,333,"2547.8","40","28","68","15","16",330,"43","38","19","48","35","17","28","57","15","50","42","9"
"01","61143","0000000",,2015,4,"B",5932,5599,2712,6,"1",721,350,"2561.6","31","34","65","20","15",347,"33","46","21","37","45","17","24","66","10","41","49","10"
"01","61143","0000000",,2015,4,"B",5932,5599,2712,6,"2",721,351,"2541.8","28","24","52","25","23",350,"31","38","32","26","50","24","29","45","26","0","0","0"
"01","61143","0000000",,2015,4,"B",5932,5599,2712,7,"2",689,319,"2556.0","28","21","50","24","27",319,"34","30","36","31","43","27","32","55","13","0","0","0"
"01","61143","0000000",,2015,4,"B",5932,5599,2712,7,"1",689,316,"2558.3","21","34","55","20","25",314,"27","44","29","32","42","26","21","58","21","29","53","17"
"01","61143","0000000",,2015,4,"B",5932,5599,2712,8,"1",639,313,"2594.8","27","36","62","23","15",309,"36","45","19","36","44","20","24","62","14","39","48","13"
"01","61143","0000000",,2015,4,"B",5932,5599,2712,8,"2",639,314,"2587.8","30","26","56","21","23",312,"36","39","24","33","48","19","29","51","19","0","0","0"
"01","61143","0000000",,2015,4,"B",5932,5599,2712,11,"2",858,335,"2613.6","21","26","47","25","28",290,"38","32","30","22","53","25","25","58","18","0","0","0"
"01","61143","0000000",,2015,4,"B",5932,5599,2712,11,"1",858,346,"2629.7","43","25","68","15","17",302,"53","34","13","53","31","16","31","57","12","53","38","9"
"01","61143","0000000",,2015,4,"B",5932,5599,2712,13,"1",5079,2302,"","34","29","63","18","19",2240,"37","42","21","39","40","20","26","59","15","40","47","14"
"01","61143","0000000",,2015,4,"B",5932,5599,2712,13,"2",5079,2303,"","29","25","54","24","22",2247,"36","35","29","31","46","23","31","49","19","0","0","0"
"01","61143","0000000",,2015,6,"B",5932,5599,5073,3,"2",753,641,"2460.2","36","28","64","16","19",639,"47","31","22","44","35","22","42","41","17","0","0","0"
"01","61143","0000000",,2015,6,"B",5932,5599,5073,3,"1",753,638,"2443.0","35","22","58","20","23",634,"37","38","25","30","45","24","32","52","17","31","48","20"
"01","61143","0000000",,2015,6,"B",5932,5599,5073,4,"1",691,578,"2495.0","40","23","63","15","22",576,"35","45","20","37","46","17","31","56","13","36","47","17"
"01","61143","0000000",,2015,6,"B",5932,5599,5073,4,"2",691,577,"2505.0","33","30","64","22","14",572,"47","31","22","38","42","20","38","42","20","0","0","0"
"01","61143","0000000",,2015,6,"B",5932,5599,5073,5,"2",728,611,"2545.3","41","20","61","22","17",609,"47","28","25","39","42","19","37","45","18","0","0","0"
"01","61143","0000000",,2015,6,"B",5932,5599,5073,5,"1",728,610,"2544.6","40","30","70","14","16",607,"43","40","17","46","35","19","31","56","14","47","43","10"
"01","61143","0000000",,2015,6,"B",5932,5599,5073,6,"1",721,628,"2559.9","29","37","66","20","14",622,"34","48","19","36","46","18","26","65","9","38","53","10"
"01","61143","0000000",,2015,6,"B",5932,5599,5073,6,"2",721,629,"2552.7","31","26","56","24","20",626,"34","38","27","31","48","21","32","47","21","0","0","0"
"01","61143","0000000",,2015,6,"B",5932,5599,5073,7,"2",689,602,"2565.1","31","22","53","24","23",598,"37","30","33","33","44","23","34","55","11","0","0","0"
"01","61143","0000000",,2015,6,"B",5932,5599,5073,7,"1",689,600,"2555.7","21","34","55","20","26",594,"30","41","29","30","44","26","22","59","19","29","51","20"
"01","61143","0000000",,2015,6,"B",5932,5599,5073,8,"1",639,582,"2588.2","22","38","60","25","15",576,"34","46","20","33","47","20","21","67","12","35","51","14"
"01","61143","0000000",,2015,6,"B",5932,5599,5073,8,"2",639,584,"2595.2","31","26","57","23","20",583,"39","39","23","35","50","15","31","53","16","0","0","0"
"01","61143","0000000",,2015,6,"B",5932,5599,5073,11,"2",858,665,"2604.1","21","24","45","24","31",571,"36","31","33","22","49","29","22","56","21","0","0","0"
"01","61143","0000000",,2015,6,"B",5932,5599,5073,11,"1",858,672,"2627.3","41","27","68","15","17",573,"53","34","13","48","35","17","31","55","13","50","41","10"
"01","61143","0000000",,2015,6,"B",5932,5599,5073,13,"1",5079,4308,"","33","30","63","18","19",4182,"38","42","21","37","43","20","28","58","14","38","48","14"
"01","61143","0000000",,2015,6,"B",5932,5599,5073,13,"2",5079,4309,"","32","25","57","22","21",4198,"41","33","26","35","44","21","34","48","18","0","0","0"
"01","61143","0000000",,2015,7,"B",5932,5599,481,3,"1",753,44,"2442.4","29","29","57","24","19",42,"38","40","21","31","45","24","38","50","12","19","60","21"
"01","61143","0000000",,2015,7,"B",5932,5599,481,3,"2",753,44,"2466.5","34","34","68","16","16",44,"51","28","21","41","43","16","42","44","14","0","0","0"
"01","61143","0000000",,2015,7,"B",5932,5599,481,4,"2",691,71,"2528.8","44","24","69","30","1",70,"54","37","9","44","40","16","39","49","13","0","0","0"
"01","61143","0000000",,2015,7,"B",5932,5599,481,4,"1",691,71,"2503.1","38","30","68","20","13",71,"32","51","17","32","54","14","39","54","7","36","51","13"
"01","61143","0000000",,2015,7,"B",5932,5599,481,5,"1",728,49,"2564.3","41","39","80","16","4",49,"46","44","10","47","43","10","35","63","2","55","45","0"
"01","61143","0000000",,2015,7,"B",5932,5599,481,5,"2",728,49,"2569.7","45","22","67","31","2",49,"53","35","12","43","51","6","43","51","6","0","0","0"
"01","61143","0000000",,2015,7,"B",5932,5599,481,6,"2",721,55,"2577.6","42","24","65","24","11",55,"40","45","15","42","45","13","44","42","15","0","0","0"
"01","61143","0000000",,2015,7,"B",5932,5599,481,6,"1",721,54,"2585.3","43","35","78","13","9",54,"39","46","15","44","46","10","30","69","2","43","56","2"
"01","61143","0000000",,2015,7,"B",5932,5599,481,7,"1",689,51,"2583.6","24","49","73","10","18",51,"29","45","25","49","37","14","22","65","14","29","57","14"
"01","61143","0000000",,2015,7,"B",5932,5599,481,7,"2",689,51,"2600.6","41","27","69","18","14",51,"53","24","24","51","37","12","45","51","4","0","0","0"
"01","61143","0000000",,2015,7,"B",5932,5599,481,8,"2",639,59,"2616.1","34","32","66","22","12",59,"46","41","14","44","44","12","32","58","10","0","0","0"
"01","61143","0000000",,2015,7,"B",5932,5599,481,8,"1",639,59,"2603.4","17","56","73","20","7",59,"39","46","15","34","54","12","24","69","7","37","54","8"
"01","61143","0000000",,2015,7,"B",5932,5599,481,11,"1",858,66,"2644.2","42","36","78","15","7",59,"54","40","5","53","39","8","36","61","4","49","47","4"
"01","61143","0000000",,2015,7,"B",5932,5599,481,11,"2",858,69,"2611.2","16","31","47","27","27",64,"37","35","29","17","65","17","20","66","14","0","0","0"
"01","61143","0000000",,2015,7,"B",5932,5599,481,13,"2",5079,398,"","36","28","64","24","12",392,"47","35","17","40","47","13","37","52","11","0","0","0"
"01","61143","0000000",,2015,7,"B",5932,5599,481,13,"1",5079,394,"","34","39","72","17","11",385,"40","45","15","41","46","13","32","62","7","39","53","9"
"01","61143","0000000",,2015,8,"B",5932,5599,469,3,"2",753,6,"*","*","*","*","*","*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,8,"B",5932,5599,469,3,"1",753,6,"*","*","*","*","*","*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,8,"B",5932,5599,469,4,"1",691,17,"2482.9","29","41","71","12","18",17,"24","59","18","18","71","12","24","65","12","38","44","19"
"01","61143","0000000",,2015,8,"B",5932,5599,469,4,"2",691,16,"2501.9","13","63","75","19","6",16,"25","63","13","31","56","13","44","38","19","0","0","0"
"01","61143","0000000",,2015,8,"B",5932,5599,469,5,"2",728,57,"2552.1","36","27","63","34","4",56,"46","36","18","29","63","9","25","66","9","0","0","0"
"01","61143","0000000",,2015,8,"B",5932,5599,469,5,"1",728,57,"2550.9","33","47","81","14","5",57,"42","51","7","42","51","7","26","67","7","49","44","7"
"01","61143","0000000",,2015,8,"B",5932,5599,469,6,"1",721,79,"2540.8","11","42","53","39","8",79,"13","68","19","22","65","14","22","75","4","27","63","10"
"01","61143","0000000",,2015,8,"B",5932,5599,469,6,"2",721,79,"2537.5","18","22","39","44","16",79,"25","41","34","18","63","19","14","65","22","0","0","0"
"01","61143","0000000",,2015,8,"B",5932,5599,469,7,"2",689,74,"2533.3","11","28","39","35","26",74,"21","45","34","15","59","26","18","62","20","0","0","0"
"01","61143","0000000",,2015,8,"B",5932,5599,469,7,"1",689,73,"2535.5","3","47","49","27","23",73,"14","48","38","8","70","22","11","68","21","21","66","14"
"01","61143","0000000",,2015,8,"B",5932,5599,469,8,"1",639,77,"2566.1","9","35","44","47","9",77,"16","62","22","19","66","14","8","82","10","19","66","14"
"01","61143","0000000",,2015,8,"B",5932,5599,469,8,"2",639,77,"2593.9","22","31","53","35","12",77,"34","51","16","27","60","13","23","66","10","0","0","0"
"01","61143","0000000",,2015,8,"B",5932,5599,469,11,"2",858,76,"2552.0","7","16","24","35","41",68,"15","42","43","7","61","31","7","54","39","0","0","0"
"01","61143","0000000",,2015,8,"B",5932,5599,469,11,"1",858,76,"2570.9","17","38","55","18","27",66,"27","53","20","24","50","26","8","73","19","42","46","12"
"01","61143","0000000",,2015,8,"B",5932,5599,469,13,"1",5079,385,"","15","41","56","29","14",375,"22","57","21","22","62","16","15","73","12","31","57","12"
"01","61143","0000000",,2015,8,"B",5932,5599,469,13,"2",5079,385,"","18","27","45","36","19",376,"28","44","28","20","61","19","19","61","20","0","0","0"
"01","61143","0000000",,2015,31,"B",5932,5599,2231,3,"1",753,292,"2374.8","8","16","24","28","48",289,"11","37","52","7","45","48","10","55","35","11","48","40"
"01","61143","0000000",,2015,31,"B",5932,5599,2231,3,"2",753,295,"2399.4","11","24","35","26","39",293,"15","40","45","15","41","44","14","52","34","0","0","0"
"01","61143","0000000",,2015,31,"B",5932,5599,2231,4,"2",691,285,"2444.4","11","18","29","35","35",282,"18","34","48","14","40","46","14","39","47","0","0","0"
"01","61143","0000000",,2015,31,"B",5932,5599,2231,4,"1",691,284,"2416.2","12","15","27","21","52",282,"11","40","49","13","42","46","11","55","35","13","48","39"
"01","61143","0000000",,2015,31,"B",5932,5599,2231,5,"1",728,281,"2469.4","13","25","38","22","41",281,"16","43","42","18","40","42","11","58","31","20","54","26"
"01","61143","0000000",,2015,31,"B",5932,5599,2231,5,"2",728,288,"2469.3","13","13","26","30","44",286,"18","27","55","11","44","45","10","47","43","0","0","0"
"01","61143","0000000",,2015,31,"B",5932,5599,2231,6,"2",721,313,"2491.4","10","20","30","31","39",312,"14","35","51","12","51","37","11","53","36","0","0","0"
"01","61143","0000000",,2015,31,"B",5932,5599,2231,6,"1",721,309,"2504.1","12","29","41","27","32",307,"13","49","38","16","46","38","15","65","20","21","61","18"
"01","61143","0000000",,2015,31,"B",5932,5599,2231,7,"1",689,294,"2488.7","5","22","28","21","51",290,"10","36","54","10","44","45","9","51","39","13","47","41"
"01","61143","0000000",,2015,31,"B",5932,5599,2231,7,"2",689,296,"2497.9","12","11","23","32","45",294,"16","26","58","13","45","43","13","65","22","0","0","0"
"01","61143","0000000",,2015,31,"B",5932,5599,2231,8,"2",639,264,"2533.8","13","21","34","27","39",263,"21","37","42","15","56","30","15","56","29","0","0","0"
"01","61143","0000000",,2015,31,"B",5932,5599,2231,8,"1",639,264,"2532.8","9","24","33","36","31",259,"17","46","37","16","46","38","7","66","27","17","55","27"
"01","61143","0000000",,2015,31,"B",5932,5599,2231,11,"1",858,229,"2524.8","9","25","34","24","41",176,"18","48","34","16","38","47","9","61","30","20","52","28"
"01","61143","0000000",,2015,31,"B",5932,5599,2231,11,"2",858,227,"2507.0","3","13","17","24","59",181,"7","30","63","5","49","46","4","58","38","0","0","0"
"01","61143","0000000",,2015,31,"B",5932,5599,2231,13,"2",5079,1968,"","11","17","28","30","42",1911,"16","33","51","12","46","41","12","52","36","0","0","0"
"01","61143","0000000",,2015,31,"B",5932,5599,2231,13,"1",5079,1953,"","10","22","32","26","42",1884,"13","42","44","14","43","43","11","58","31","16","53","31"
"01","61143","0000000",,2015,74,"B",5932,5599,1083,3,"1",753,129,"2354.2","5","9","13","27","59",128,"5","34","61","4","39","57","4","48","48","8","45","48"
"01","61143","0000000",,2015,74,"B",5932,5599,1083,3,"2",753,131,"2374.7","3","19","22","24","54",130,"7","36","57","5","34","60","6","49","45","0","0","0"
"01","61143","0000000",,2015,74,"B",5932,5599,1083,4,"2",691,112,"2414.9","5","14","18","34","48",111,"7","25","67","8","31","61","6","38","57","0","0","0"
"01","61143","0000000",,2015,74,"B",5932,5599,1083,4,"1",691,112,"2394.3","4","14","18","20","63",112,"5","39","56","5","42","53","2","59","40","2","45","53"
"01","61143","0000000",,2015,74,"B",5932,5599,1083,5,"1",728,126,"2448.4","5","22","27","25","48",126,"8","44","48","15","36","49","7","52","41","10","61","29"
"01","61143","0000000",,2015,74,"B",5932,5599,1083,5,"2",728,126,"2454.6","7","9","16","36","48",125,"9","27","64","7","42","51","6","48","46","0","0","0"
"01","61143","0000000",,2015,74,"B",5932,5599,1083,6,"2",721,124,"2449.7","2","11","13","29","58",123,"3","29","67","5","37","59","3","41","56","0","0","0"
"01","61143","0000000",,2015,74,"B",5932,5599,1083,6,"1",721,124,"2466.5","4","20","24","28","48",120,"8","42","50","10","37","53","7","62","31","13","55","33"
"01","61143","0000000",,2015,74,"B",5932,5599,1083,7,"1",689,147,"2466.2","2","13","15","27","59",143,"5","37","58","4","42","55","4","54","43","7","48","45"
"01","61143","0000000",,2015,74,"B",5932,5599,1083,7,"2",689,146,"2472.6","3","6","10","39","51",144,"6","25","69","3","47","50","5","74","21","0","0","0"
"01","61143","0000000",,2015,74,"B",5932,5599,1083,8,"1",639,137,"2500.4","4","15","19","37","43",134,"7","45","48","9","38","53","2","64","34","9","54","37"
"01","61143","0000000",,2015,74,"B",5932,5599,1083,8,"2",639,136,"2499.5","6","15","21","27","52",134,"9","34","57","10","52","38","9","53","38","0","0","0"
"01","61143","0000000",,2015,74,"B",5932,5599,1083,11,"2",858,138,"2486.6","1","10","11","24","65",101,"7","22","71","0","43","57","1","57","42","0","0","0"
"01","61143","0000000",,2015,74,"B",5932,5599,1083,11,"1",858,137,"2511.1","6","21","27","30","42",99,"16","42","42","10","40","50","9","48","43","14","55","31"
"01","61143","0000000",,2015,74,"B",5932,5599,1083,13,"2",5079,913,"","4","12","16","31","53",868,"7","29","64","6","41","53","5","52","43","0","0","0"
"01","61143","0000000",,2015,74,"B",5932,5599,1083,13,"1",5079,912,"","4","16","20","28","52",862,"7","40","52","8","39","53","5","55","40","9","52","39"
"01","61143","0000000",,2015,75,"B",5932,5599,16,3,"2",753,4,"*","*","*","*","*","*",4,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,75,"B",5932,5599,16,3,"1",753,4,"*","*","*","*","*","*",3,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,75,"B",5932,5599,16,4,"1",691,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,75,"B",5932,5599,16,4,"2",691,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,75,"B",5932,5599,16,5,"2",728,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,75,"B",5932,5599,16,5,"1",728,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,75,"B",5932,5599,16,6,"1",721,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,75,"B",5932,5599,16,6,"2",721,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,75,"B",5932,5599,16,7,"2",689,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,75,"B",5932,5599,16,7,"1",689,1,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,75,"B",5932,5599,16,8,"1",639,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,75,"B",5932,5599,16,8,"2",639,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,75,"B",5932,5599,16,11,"2",858,2,"*","*","*","*","*","*",1,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,75,"B",5932,5599,16,11,"1",858,3,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,75,"B",5932,5599,16,13,"1",5079,15,"","15","15","31","46","23",13,"23","46","31","15","31","54","23","54","23","31","31","38"
"01","61143","0000000",,2015,75,"B",5932,5599,16,13,"2",5079,14,"","23","15","38","23","38",13,"23","38","38","23","46","31","23","46","31","0","0","0"
"01","61143","0000000",,2015,76,"B",5932,5599,444,3,"1",753,49,"2447.6","35","17","52","31","17",48,"36","43","21","39","33","28","27","65","8","28","60","13"
"01","61143","0000000",,2015,76,"B",5932,5599,444,3,"2",753,50,"2464.4","36","32","68","22","10",50,"50","34","16","46","34","20","40","46","14","0","0","0"
"01","61143","0000000",,2015,76,"B",5932,5599,444,4,"2",691,43,"2498.5","31","31","62","19","19",42,"48","29","24","38","40","21","33","31","36","0","0","0"
"01","61143","0000000",,2015,76,"B",5932,5599,444,4,"1",691,42,"2454.1","23","26","49","10","41",39,"23","38","38","24","38","38","13","59","28","24","57","19"
"01","61143","0000000",,2015,76,"B",5932,5599,444,5,"1",728,51,"2540.8","31","37","69","24","8",51,"36","50","14","39","41","20","31","61","8","47","45","8"
"01","61143","0000000",,2015,76,"B",5932,5599,444,5,"2",728,53,"2559.0","40","30","70","21","9",53,"53","32","15","28","64","8","34","53","13","0","0","0"
"01","61143","0000000",,2015,76,"B",5932,5599,444,6,"2",721,62,"2569.1","35","24","60","27","13",62,"40","42","18","31","55","15","31","55","15","0","0","0"
"01","61143","0000000",,2015,76,"B",5932,5599,444,6,"1",721,60,"2564.8","24","37","61","32","7",59,"27","53","20","32","58","10","29","68","3","42","49","8"
"01","61143","0000000",,2015,76,"B",5932,5599,444,7,"1",689,39,"2548.6","11","45","55","26","18",38,"21","53","26","18","63","18","13","68","18","24","53","24"
"01","61143","0000000",,2015,76,"B",5932,5599,444,7,"2",689,39,"2568.3","18","38","56","26","18",39,"34","37","29","23","59","18","31","56","13","0","0","0"
"01","61143","0000000",,2015,76,"B",5932,5599,444,8,"2",639,54,"2614.5","33","39","72","17","11",54,"43","44","13","35","50","15","33","61","6","0","0","0"
"01","61143","0000000",,2015,76,"B",5932,5599,444,8,"1",639,53,"2593.9","17","47","64","26","9",53,"32","49","19","35","52","13","17","68","15","38","49","13"
"01","61143","0000000",,2015,76,"B",5932,5599,444,11,"1",858,71,"2604.7","29","35","65","17","18",65,"43","39","18","35","49","16","20","68","12","52","40","9"
"01","61143","0000000",,2015,76,"B",5932,5599,444,11,"2",858,68,"2622.4","29","27","56","17","27",63,"42","35","23","28","53","18","28","52","20","0","0","0"
"01","61143","0000000",,2015,76,"B",5932,5599,444,13,"2",5079,369,"","32","31","63","21","15",363,"44","36","19","33","51","16","33","51","16","0","0","0"
"01","61143","0000000",,2015,76,"B",5932,5599,444,13,"1",5079,365,"","25","35","60","24","16",353,"32","46","22","33","48","20","22","66","12","38","50","13"
"01","61143","0000000",,2015,77,"B",5932,5599,46,3,"2",753,6,"*","*","*","*","*","*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,77,"B",5932,5599,46,3,"1",753,6,"*","*","*","*","*","*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,77,"B",5932,5599,46,4,"1",691,6,"*","*","*","*","*","*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,77,"B",5932,5599,46,4,"2",691,6,"*","*","*","*","*","*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,77,"B",5932,5599,46,5,"2",728,5,"*","*","*","*","*","*",5,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,77,"B",5932,5599,46,5,"1",728,5,"*","*","*","*","*","*",5,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,77,"B",5932,5599,46,6,"1",721,8,"*","*","*","*","*","*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,77,"B",5932,5599,46,6,"2",721,8,"*","*","*","*","*","*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,77,"B",5932,5599,46,7,"2",689,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
"01","61143","0000000",,2015,77,"B",5932,5599,46,7,"1",689,2,"*","*","*","*","*","*",2,"*","*","*","*","*","*","*","*","*","*","*","*"
